주문번호,주문일시,상품명,옵션정보,수량,상품별 총 주문금액,결제금액,할인금액,배송비 결제금액,수수료합계,정산예정금액,카테고리,정산상태
NV3000000,2026-02-13,"나이키 에어포스 1 '07 화이트",베이지,1,139000,139000,0,3447,7124,128429,"패션/신발",정산완료
NV3000001,2025-10-25,"정관장 홍삼정 에브리타임 밸런스 30포",,1,75000,63750,11250,2562,4445,56743,"건강식품",정산완료
NV3000002,2025-10-03,"설화수 자음2종 세트",XL,1,120000,120000,0,0,6845,113155,"화장품/미용",정산완료
NV3000003,2025-12-20,"애플 에어팟 프로 2세대",,1,359000,359000,0,0,20474,338526,"디지털/가전",정산완료
NV3000004,2026-02-16,"일리 네스프레소 호환 캡슐 100캡슐",,1,45000,45000,0,3364,2649,38987,"식품/음료",정산완료
NV3000005,2025-10-25,"다이슨 에어랩 멀티 스타일러",,2,1498000,1498000,0,2796,80915,1414289,"디지털/가전",정산완료
NV3000006,2026-02-23,"락토핏 생유산균 골드 50포 x 3통",,1,42000,42000,0,0,2157,39843,"건강식품",정산완료
NV3000007,2026-01-19,"크록스 클래식 클로그",M,2,109800,109800,0,3140,5846,100814,"패션/신발",정산완료
NV3000008,2025-10-30,"LG전자 스탠바이미",블랙,2,2080000,2080000,0,0,109569,1970431,"디지털/가전",정산완료
NV3000009,2026-01-24,"아로마티카 로즈마리 스칼프 샴푸",XL,2,48000,48000,0,0,2529,45471,"화장품/미용",정산완료
NV3000010,2025-11-29,"나이키 에어포스 1 '07 화이트",그레이,2,278000,278000,0,3449,14495,260056,"패션/신발",정산완료
NV3000011,2026-01-29,"정관장 홍삼정 에브리타임 밸런스 30포",그레이,2,150000,150000,0,2602,8644,138754,"건강식품",정산완료
NV3000012,2026-03-14,"설화수 자음2종 세트",,1,120000,97200,22800,3346,6124,87730,"화장품/미용",정산완료
NV3000013,2026-02-13,"애플 에어팟 프로 2세대",FREE,2,718000,617480,100520,0,38939,578541,"디지털/가전",정산완료
NV3000014,2026-01-24,"일리 네스프레소 호환 캡슐 100캡슐",L,1,45000,45000,0,0,2505,42495,"식품/음료",정산완료
NV3000015,2025-10-13,"다이슨 에어랩 멀티 스타일러",FREE,1,749000,629160,119840,3094,39199,586867,"디지털/가전",정산완료
NV3000016,2026-02-24,"락토핏 생유산균 골드 50포 x 3통",,1,42000,42000,0,0,2389,39611,"건강식품",정산완료
NV3000017,2026-02-01,"크록스 클래식 클로그",FREE,1,54900,54900,0,0,2815,52085,"패션/신발",정산완료
NV3000018,2025-10-27,"LG전자 스탠바이미",,2,2080000,2080000,0,0,109187,1970813,"디지털/가전",정산완료
NV3000019,2025-11-27,"아로마티카 로즈마리 스칼프 샴푸",네이비,1,24000,24000,0,3209,1361,19430,"화장품/미용",정산완료
NV3000020,2026-01-06,"나이키 에어포스 1 '07 화이트",M,1,139000,115370,23630,2901,8131,104338,"패션/신발",정산완료
NV3000021,2025-11-13,"정관장 홍삼정 에브리타임 밸런스 30포",화이트,2,150000,123000,27000,0,8382,114618,"건강식품",정산완료
