주문번호,주문일,상품명,옵션명,수량,판매액(A),결제금액,판매자 할인쿠폰,기본배송비,판매수수료,정산금액,상품그룹명,주문상태,로켓 여부
CP2000000,2026.02.09,"무선 블루투스 이어폰 TWS-500",,2,59800,59800,0,2964,5877,50959,"전자/디지털",구매확정,N
CP2000001,2026.03.07,"여성 오버핏 맨투맨 봄 신상",L,3,59700,53133,6567,2726,6199,44208,"패션의류",구매확정,N
CP2000002,2025.11.01,"스테인리스 텀블러 500ml",XL,1,15900,15900,0,2681,1853,11366,"생활/건강",구매확정,Y
CP2000003,2025.10.30,"유기농 현미 5kg",FREE,3,68700,63204,5496,2725,7723,52756,"식품",구매확정,Y
CP2000004,2025.12.23,"강아지 사료 연어맛 6kg",L,3,98700,98700,0,0,11392,87308,"반려동물",구매확정,N
CP2000005,2025.12.26,"접이식 캠핑 의자 경량형",,2,49800,49800,0,0,4891,44909,"스포츠/레저",구매확정,Y
CP2000006,2025.11.17,"LED 데스크 무드등 조명",그레이,2,37800,33642,4158,0,4310,29332,"인테리어",구매확정,N
CP2000007,2026.01.27,"남성 슬림핏 치노 팬츠",,2,59800,56212,3588,2848,6421,46943,"패션의류",구매확정,Y
CP2000008,2026.01.18,"키즈 보온 패딩 점퍼 120-160",,3,107700,107700,0,2808,11688,93204,"유아동",구매확정,N
CP2000009,2026.02.07,"에어프라이어 5L 디지털",그레이,3,149700,149700,0,0,14839,134861,"주방가전",구매확정,N
CP2000010,2026.02.14,"비타민C 1000mg 180정",S,3,38700,38700,0,0,4347,34353,"건강식품",구매확정,N
CP2000011,2025.12.04,"실리콘 주방매트 세트",,1,9900,9900,0,0,1108,8792,"주방용품",구매확정,N
CP2000012,2025.10.11,"무선 블루투스 이어폰 TWS-500",베이지,2,59800,59800,0,0,5922,53878,"전자/디지털",구매확정,Y
CP2000013,2025.11.13,"여성 오버핏 맨투맨 봄 신상",M,3,59700,59700,0,2704,6489,50507,"패션의류",구매확정,Y
CP2000014,2026.01.24,"스테인리스 텀블러 500ml",,1,15900,15900,0,2529,1640,11731,"생활/건강",구매확정,Y
CP2000015,2025.10.27,"유기농 현미 5kg",블랙,2,45800,38930,6870,0,4597,34333,"식품",구매확정,N
CP2000016,2025.12.16,"강아지 사료 연어맛 6kg",,1,32900,32900,0,0,3574,29326,"반려동물",구매확정,N
CP2000017,2026.02.20,"접이식 캠핑 의자 경량형",베이지,1,24900,24900,0,0,2762,22138,"스포츠/레저",배송완료,Y
CP2000018,2026.01.27,"LED 데스크 무드등 조명",XL,3,56700,56700,0,0,5910,50790,"인테리어",구매확정,N
CP2000019,2025.10.03,"남성 슬림핏 치노 팬츠",,1,29900,29900,0,0,3274,26626,"패션의류",구매확정,Y
CP2000020,2025.11.10,"키즈 보온 패딩 점퍼 120-160",블랙,1,35900,32310,3590,0,3536,28774,"유아동",구매확정,Y
CP2000021,2026.01.25,"에어프라이어 5L 디지털",네이비,3,149700,128742,20958,0,15625,113117,"주방가전",구매확정,N
CP2000022,2026.02.17,"비타민C 1000mg 180정",,1,12900,12900,0,2559,1317,9024,"건강식품",구매확정,N
CP2000023,2025.11.25,"실리콘 주방매트 세트",네이비,2,19800,19800,0,2699,1951,15150,"주방용품",구매확정,Y
CP2000024,2026.01.03,"무선 블루투스 이어폰 TWS-500",XL,3,89700,89700,0,2786,9398,77516,"전자/디지털",구매확정,Y
CP2000025,2025.10.08,"여성 오버핏 맨투맨 봄 신상",XL,2,39800,39800,0,0,4233,35567,"패션의류",구매확정,Y
CP2000026,2025.12.31,"스테인리스 텀블러 500ml",,1,15900,14469,1431,2931,1858,9680,"생활/건강",구매확정,N
CP2000027,2025.10.24,"유기농 현미 5kg",S,1,22900,22900,0,2835,2388,17677,"식품",구매확정,N
CP2000028,2026.03.12,"강아지 사료 연어맛 6kg",그레이,3,98700,98700,0,0,10124,88576,"반려동물",구매확정,N
CP2000029,2025.11.27,"접이식 캠핑 의자 경량형",화이트,1,24900,24900,0,0,2903,21997,"스포츠/레저",구매확정,N
CP2000030,2026.02.07,"LED 데스크 무드등 조명",네이비,1,18900,17955,945,2756,1937,13262,"인테리어",구매확정,Y
CP2000031,2026.01.14,"남성 슬림핏 치노 팬츠",베이지,3,89700,89700,0,0,10339,79361,"패션의류",구매확정,Y
CP2000032,2026.01.02,"키즈 보온 패딩 점퍼 120-160",,1,35900,35900,0,2773,3582,29545,"유아동",구매확정,Y
CP2000033,2026.01.06,"에어프라이어 5L 디지털",,2,99800,99800,0,0,10503,89297,"주방가전",구매확정,Y
CP2000034,2025.12.05,"비타민C 1000mg 180정",,2,25800,25800,0,0,2681,23119,"건강식품",구매확정,N
CP2000035,2026.02.16,"실리콘 주방매트 세트",,2,19800,19800,0,2715,2159,14926,"주방용품",구매확정,Y
CP2000036,2025.10.08,"무선 블루투스 이어폰 TWS-500",,1,29900,29900,0,0,3066,26834,"전자/디지털",구매확정,Y
